date,site,depth,temp,cond,do,ph,sal,secchi,hardness,nitrate,nitrite,ammonia,orthop,tp,turb,chlora1,chlora2,percent deviation
7/29/2018,1,1,30.32,943,9.85,9.92,0.46,21,,,,,,,,77.2,80.16,-3.69261477
7/29/2018,1,1,29.13,955,9.05,8.7,0.47,21,,,,,,,,72.76,88.37,-17.66436573
7/29/2018,1,1,28.46,946,9.26,9.87,0.46,26,,,,,,,,76.08,76.49,-0.53601778
7/29/2018,1,1,28.55,946,8.52,9.91,0.46,23,,,,,,,,77.9,70.68,10.21505376
7/29/2018,1,1,28.59,918,8.44,9.8,0.44,20,,,,,,,,92.52,91.71,0.883218842
7/29/2018,1,1,28.66,971,9.13,9.96,0.48,21,,,,,,,,70.58,70.98,-0.563539025
7/29/2018,2,1,29.26,837,8.73,8.95,0.41,22,,,,,,,,72.53,77.78,-6.749807148
7/29/2018,2,1,29.64,528,4.15,8.78,0.26,27,,,,,,,,66.14,84.02,-21.28064746
7/29/2018,2,1,29.83,801,8.38,8.02,0.39,25,,,,,,,,96.07,95.25,0.860892388
7/29/2018,2,1,29.77,723,7.92,7.85,0.35,27,,,,,,,,111.1,85.47,29.98712999
7/29/2018,2,1,29,979,9.19,9.14,0.48,23,,,,,,,,70.77,77.61,-8.813297256
7/29/2018,2,1,29.18,986,9.1,9.47,0.48,24,,,,,,,,87.76,84.87,3.405207965
8/29/2018,1,1,30.51,1082,10.7,9.2,0.53,19,,,,,,,,88.39,88.13,0.295018722
8/29/2018,1,1,30.38,1084,11.4,9,0.53,14,,,,,,,,80.85,78.67,2.771069022
8/29/2018,1,1,30.19,1097,11.32,10.08,0.54,16,,,,,,,,100.38,94.38,6.357279085
8/29/2018,1,1,30.23,1094,11.73,10.17,0.54,14,,,,,,,,95.37,96.29,-0.955447087
8/29/2018,1,1,29.58,1080,9.82,10.04,0.53,19,,,,,,,,119.23,104.37,14.2378078
8/29/2018,1,1,29.59,1082,10.35,10.01,0.53,17,,,,,,,,96.01,95.8,0.219206681
8/29/2018,2,1,31.5,1087,12.36,10,0.53,15,,,,,,,,88.18,84.08,4.876308278
8/29/2018,2,1,31.23,1080,12.81,10.22,0.53,13,,,,,,,,74.23,73.69,0.732799566
8/29/2018,2,1,31.64,1094,11.09,9.89,0.53,14,,,,,,,,96.86,96.13,0.759388328
8/29/2018,2,1,31.34,1088,11.85,10.22,0.53,14,,,,,,,,86.85,88.76,-2.151870212
